RES_LAD23CD,WORK_LAD23CD,flow
E06000004,E09000020,6
E06000004,E09000022,12
E06000004,E09000023,8
E06000004,E09000024,7
E06000004,E09000025,7
E06000004,E09000026,2
E06000004,E09000027,2
E06000004,E09000028,21
E06000004,E09000029,1
E06000004,E09000030,16
E06000004,E09000031,3
E06000004,E09000032,2
E06000004,E09000033,49
E06000004,W06000003,1
E06000004,W06000004,3
E06000004,W06000005,4
E06000004,W06000006,5
E06000004,W06000009,5
E06000004,W06000012,3
E06000004,W06000013,1
E06000004,W06000014,7
E06000004,W06000015,1
E06000004,W06000016,1
E06000004,W06000019,1
E06000004,W06000022,2
E06000005,E06000001,266
E06000005,E06000002,1300
E06000005,E06000003,467
E06000005,E06000004,3014
E06000005,E06000005,26671
E06000005,E06000006,7
E06000005,E06000007,10
E06000005,E06000008,2
E06000005,E06000009,2
E06000005,E06000010,19
E06000005,E06000011,26
E06000005,E06000013,18
E06000005,E06000014,145
E06000005,E06000015,3
E06000005,E06000016,1
E06000005,E06000018,8
E06000005,E06000019,2
E06000005,E06000020,4
E06000005,E06000021,1
E06000005,E06000023,8
E06000005,E06000024,1
E06000005,E06000025,14
E06000005,E06000026,12
E06000005,E06000030,3
E06000005,E06000031,8
E06000005,E06000032,7
E06000005,E06000034,1
E06000005,E06000035,3
E06000005,E06000036,2
E06000005,E06000037,9
E06000005,E06000038,2
E06000005,E06000039,6
E06000005,E06000040,8
E06000005,E06000041,9
E06000005,E06000042,7
E06000005,E06000043,1
E06000005,E06000044,6
E06000005,E06000045,3
E06000005,E06000047,4629
E06000005,E06000049,2
E06000005,E06000050,2
E06000005,E06000051,12
E06000005,E06000052,5
E06000005,E06000054,17
E06000005,E06000056,4
E06000005,E06000057,80
E06000005,E06000059,6
E06000005,E06000060,6
E06000005,E06000061,2
E06000005,E06000062,13
E06000005,E06000063,23
E06000005,E06000064,19
E06000005,E06000065,2796
E06000005,E06000066,3
E06000005,E07000008,6
E06000005,E07000010,1
E06000005,E07000011,4
E06000005,E07000012,5
E06000005,E07000032,1
E06000005,E07000033,4
E06000005,E07000034,5
E06000005,E07000036,2
E06000005,E07000037,1
E06000005,E07000038,5
E06000005,E07000040,1
E06000005,E07000041,3
E06000005,E07000043,1
E06000005,E07000045,1
E06000005,E07000063,1
E06000005,E07000067,3
E06000005,E07000069,2
E06000005,E07000071,2
E06000005,E07000073,2
E06000005,E07000076,2
E06000005,E07000077,1
E06000005,E07000078,3
E06000005,E07000080,4
E06000005,E07000082,1
E06000005,E07000083,4
E06000005,E07000084,2
E06000005,E07000085,4
E06000005,E07000086,1
E06000005,E07000087,6
E06000005,E07000088,2
E06000005,E07000089,3
E06000005,E07000091,2
E06000005,E07000093,2
E06000005,E07000094,1
E06000005,E07000096,1
E06000005,E07000098,1
E06000005,E07000099,1
E06000005,E07000102,1
E06000005,E07000103,3
E06000005,E07000105,2
E06000005,E07000107,5
E06000005,E07000108,3
E06000005,E07000110,2
E06000005,E07000112,3
E06000005,E07000117,2
E06000005,E07000118,3
E06000005,E07000119,5
E06000005,E07000120,2
E06000005,E07000121,1
E06000005,E07000122,4
E06000005,E07000123,3
E06000005,E07000124,1
E06000005,E07000125,1
E06000005,E07000126,2
E06000005,E07000129,1
E06000005,E07000131,3
E06000005,E07000134,2
E06000005,E07000135,2
E06000005,E07000136,2
E06000005,E07000137,3
E06000005,E07000138,3
E06000005,E07000139,9
E06000005,E07000140,1
E06000005,E07000141,1
E06000005,E07000142,1
E06000005,E07000143,1
E06000005,E07000145,1
E06000005,E07000146,8
E06000005,E07000147,1
E06000005,E07000148,2
E06000005,E07000170,4
E06000005,E07000171,15
E06000005,E07000172,2
E06000005,E07000173,4
E06000005,E07000175,4
E06000005,E07000176,4
E06000005,E07000177,1
E06000005,E07000178,2
E06000005,E07000179,5
E06000005,E07000180,1
E06000005,E07000181,3
E06000005,E07000192,2
E06000005,E07000193,1
E06000005,E07000194,1
E06000005,E07000195,5
E06000005,E07000196,2
E06000005,E07000197,8
E06000005,E07000199,3
E06000005,E07000200,3
E06000005,E07000203,7
E06000005,E07000207,3
E06000005,E07000209,4
E06000005,E07000210,3
E06000005,E07000211,3
E06000005,E07000212,6
E06000005,E07000214,5
E06000005,E07000215,4
E06000005,E07000217,3
E06000005,E07000218,2
E06000005,E07000220,3
E06000005,E07000221,3
E06000005,E07000222,8
E06000005,E07000224,1
E06000005,E07000225,2
E06000005,E07000226,2
E06000005,E07000227,2
E06000005,E07000228,3
E06000005,E07000229,1
E06000005,E07000234,2
E06000005,E07000235,1
E06000005,E07000236,3
E06000005,E07000240,4
E06000005,E07000241,3
E06000005,E07000243,1
E06000005,E07000244,2
E06000005,E07000245,3
E06000005,E08000001,7
E06000005,E08000002,1
E06000005,E08000003,18
E06000005,E08000004,11
E06000005,E08000005,6
E06000005,E08000006,13
E06000005,E08000007,2
E06000005,E08000008,2
E06000005,E08000009,2
E06000005,E08000010,5
E06000005,E08000012,12
E06000005,E08000013,6
E06000005,E08000015,5
E06000005,E08000016,8
E06000005,E08000017,11
E06000005,E08000018,4
E06000005,E08000019,13
E06000005,E08000021,418
E06000005,E08000022,87
E06000005,E08000023,94
E06000005,E08000024,356
E06000005,E08000025,11
E06000005,E08000026,3
E06000005,E08000027,2
E06000005,E08000028,3
E06000005,E08000029,3
E06000005,E08000030,2
E06000005,E08000031,1
