outla,inla,moves
E06000004,E07000038,2.9277
E06000004,E07000039,1.3178
E06000004,E07000040,3.7703999999999995
E06000004,E07000041,2.5941
E06000004,E07000043,5.0531
E06000004,E07000044,2.5652
E06000004,E07000045,1.2461
E06000004,E07000046,1.2525
E06000004,E07000061,3.752
E06000004,E07000062,1.2549
E06000004,E07000063,3.7462
E06000004,E07000064,1.2547
E06000004,E07000065,1.2386
E06000004,E07000066,2.6596
E06000004,E07000067,2.5896
E06000004,E07000068,1.2409
E06000004,E07000069,1.2686
E06000004,E07000072,1.264
E06000004,E07000073,2.5484
E06000004,E07000076,2.5709
E06000004,E07000077,1.2672
E06000004,E07000078,2.6834
E06000004,E07000081,5.2347
E06000004,E07000083,1.305
E06000004,E07000084,8.6827
E06000004,E07000086,1.2344
E06000004,E07000090,3.6938000000000004
E06000004,E07000091,3.6732000000000005
E06000004,E07000092,2.5060000000000002
E06000004,E07000093,1.2371
E06000004,E07000094,3.6898999999999997
E06000004,E07000095,3.6028000000000002
E06000004,E07000098,2.4024
E06000004,E07000099,2.3669000000000002
E06000004,E07000103,1.221
E06000004,E07000105,4.6409
E06000004,E07000106,1.538
E06000004,E07000107,3.085
E06000004,E07000109,3.0587
E06000004,E07000110,3.0439
E06000004,E07000112,3.0902000000000003
E06000004,E07000113,1.5453
E06000004,E07000114,4.607100000000001
E06000004,E07000115,3.0783
E06000004,E07000117,6.383800000000001
E06000004,E07000118,3.2786999999999997
E06000004,E07000119,5.3369
E06000004,E07000120,3.8247
E06000004,E07000121,9.7094
E06000004,E07000122,6.232200000000001
E06000004,E07000123,6.8847000000000005
E06000004,E07000124,2.5971
E06000004,E07000125,2.56
E06000004,E07000127,1.6571
E06000004,E07000128,5.4113
E06000004,E07000129,2.4463999999999997
E06000004,E07000130,5.0922
E06000004,E07000131,3.8357
E06000004,E07000132,1.2713
E06000004,E07000133,1.3695
E06000004,E07000134,3.8323
E06000004,E07000136,2.8391
E06000004,E07000137,13.0801
E06000004,E07000138,2.8809
E06000004,E07000139,1.4062
E06000004,E07000140,4.2457
E06000004,E07000141,2.9052
E06000004,E07000142,1.4298
E06000004,E07000143,1.2044
E06000004,E07000144,1.2318
E06000004,E07000145,1.2235
E06000004,E07000146,1.2252
E06000004,E07000147,2.5025
E06000004,E07000148,3.674
E06000004,E07000149,3.6181
E06000004,E07000170,2.715
E06000004,E07000171,4.0779
E06000004,E07000172,1.3504
E06000004,E07000173,4.089499999999999
E06000004,E07000174,4.0694
E06000004,E07000175,6.802099999999999
E06000004,E07000176,4.0634
E06000004,E07000177,5.093500000000001
E06000004,E07000178,6.3713
E06000004,E07000179,3.8476
E06000004,E07000180,5.070600000000001
E06000004,E07000193,3.692
E06000004,E07000195,3.9001
E06000004,E07000196,2.4368999999999996
E06000004,E07000197,3.6660000000000004
E06000004,E07000198,3.8708
E06000004,E07000200,1.131
E06000004,E07000202,4.4666
E06000004,E07000203,2.2131
E06000004,E07000207,1.4293
E06000004,E07000208,2.8093
E06000004,E07000209,1.4557
E06000004,E07000211,2.8936
E06000004,E07000212,1.4535
E06000004,E07000218,1.0937
E06000004,E07000220,1.1645
E06000004,E07000222,7.908200000000001
E06000004,E07000224,1.2662
E06000004,E07000225,2.5248
E06000004,E07000227,3.7743
E06000004,E07000228,2.5493
E06000004,E07000234,1.3589
E06000004,E07000237,4.0806
E06000004,E07000239,1.3695
E06000004,E07000240,2.407
E06000004,E07000241,2.4008000000000003
E06000004,E07000242,2.4107000000000003
E06000004,E07000244,4.4221
E06000004,E07000245,7.8493
E06000004,E08000001,12.775500000000001
E06000004,E08000002,4.9334
E06000004,E08000003,64.7453
E06000004,E08000004,6.174200000000001
E06000004,E08000005,3.7191
E06000004,E08000006,23.7094
E06000004,E08000007,6.9127
E06000004,E08000008,4.6219
E06000004,E08000009,10.520800000000001
E06000004,E08000010,6.4002
E06000004,E08000011,2.2302999999999997
E06000004,E08000012,20.096199999999996
E06000004,E08000013,2.2373
E06000004,E08000014,13.151900000000001
E06000004,E08000015,1.6127
E06000004,E08000016,6.4864
E06000004,E08000017,17.979
E06000004,E08000018,8.4155
E06000004,E08000019,39.374399999999994
E06000004,E08000021,101.06909999999999
E06000004,E08000022,35.9546
E06000004,E08000023,35.6146
E06000004,E08000024,90.9832
E06000004,E08000025,38.3888
E06000004,E08000026,10.5338
E06000004,E08000027,2.3756
E06000004,E08000028,2.7001
E06000004,E08000030,4.7542
E06000004,E08000031,7.6471
E06000004,E08000032,27.024199999999997
E06000004,E08000033,16.7344
